|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
184|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2012|23,8|7|€26.28m|€796k|2012|Czech Republic
185|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2012|24,9|6|€18.31m|€610k|2012|Czech Republic
186|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2012|25,6|7|€14.70m|€408k|2012|Czech Republic
187|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2012|24,5|13|€12.68m|€352k|2012|Czech Republic
188|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2012|24,9|9|€11.28m|€364k|2012|Czech Republic
189|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2012|24,8|8|€11.23m|€387k|2012|Czech Republic
190|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2012|24,7|3|€10.70m|€412k|2012|Czech Republic
191|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2012|24,0|5|€6.78m|€205k|2012|Czech Republic
192|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2013|23,8|6|€33.65m|€841k|2013|Czech Republic
193|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2013|25,4|7|€28.93m|€723k|2013|Czech Republic
194|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2013|24,6|13|€15.60m|€371k|2013|Czech Republic
195|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2013|25,4|3|€13.08m|€319k|2013|Czech Republic
196|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2013|24,4|3|€11.65m|€333k|2013|Czech Republic
197|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2013|23,1|15|€11.30m|€290k|2013|Czech Republic
198|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2013|24,4|11|€10.43m|€298k|2013|Czech Republic
199|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2013|24,6|4|€7.45m|€219k|2013|Czech Republic
200|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2014|25,3|8|€34.10m|€1.03m|2014|Czech Republic
201|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2014|27,0|6|€25.78m|€955k|2014|Czech Republic
202|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2014|24,7|6|€13.13m|€423k|2014|Czech Republic
203|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2014|24,2|13|€12.28m|€323k|2014|Czech Republic
204|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2014|23,8|18|€12.20m|€330k|2014|Czech Republic
205|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2014|23,8|11|€11.05m|€345k|2014|Czech Republic
206|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2014|24,4|9|€9.73m|€304k|2014|Czech Republic
207|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2014|23,3|6|€5.70m|€158k|2014|Czech Republic
208|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2015|25,4|7|€32.73m|€935k|2015|Czech Republic
209|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2015|26,8|5|€24.75m|€798k|2015|Czech Republic
210|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2015|23,8|6|€13.80m|€383k|2015|Czech Republic
211|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2015|24,5|7|€13.60m|€358k|2015|Czech Republic
212|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2015|23,2|13|€12.85m|€338k|2015|Czech Republic
