|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
942|11.800 Seats|Pod Dubnom|36|Ä350k|Ä6.00m|Ä7.80m|Ä350k|+Ä7.45m
943|5.000 Seats|ätadiÛn pod »ebraùom|30|Free transfer|Free transfer|0|0|0
944|4.165 Seats|OMS Arena|38|Free transfer|Free transfer|0|0|0
945|22.500 Seats|TehelnÈ pole|39|Free transfer|Ä200k|Ä220k|0|+Ä220k
946|11.800 Seats|Pod Dubnom|36|Ä160k|Ä2.00m|Ä2.00m|Ä310k|+Ä1.69m
947|5.000 Seats|ätadiÛn pod »ebraùom|32|Free transfer|Free transfer|0|0|0
948|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|35|Free transfer|Ä50k|Ä50k|0|+Ä50k
949|4.165 Seats|OMS Arena|46|Free transfer|Free transfer|0|0|0
950|22.500 Seats|TehelnÈ pole|45|Ä1.00m|Ä1.65m|Ä1.71m|Ä3.05m|Ä-1.34m
951|11.800 Seats|Pod Dubnom|42|Free transfer|Ä1.50m|Ä3.50m|0|+Ä3.50m
952|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|32|Free transfer|Ä1.00m|Ä1.50m|0|+Ä1.50m
953|5.000 Seats|ätadiÛn pod »ebraùom|35|Ä120k|Free transfer|0|Ä120k|Ä-120k
954|4.165 Seats|OMS Arena|44|Ä150k|Ä30k|Ä30k|Ä150k|Ä-120k
955|22.500 Seats|TehelnÈ pole|36|Free transfer|Ä50k|Ä50k|0|+Ä50k
956|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|53|Ä13k|Ä750k|Ä880k|Ä13k|+Ä868k
957|11.800 Seats|Pod Dubnom|38|Ä250k|Ä3.80m|Ä5.30m|Ä250k|+Ä5.05m
958|5.000 Seats|ätadiÛn pod »ebraùom|33|Free transfer|Free transfer|0|0|0
959|4.165 Seats|OMS Arena|41|Free transfer|Free transfer|0|0|0
960|6.250 Seats|ARVI arena|38|Free transfer|Ä30k|Ä30k|0|+Ä30k
961|5.067 Seats|LFF stadionas|27|Ä30k|Free transfer|0|Ä30k|Ä-30k
962|6.250 Seats|ARVI arena|35|Ä15k|Free transfer|0|Ä15k|Ä-15k
963|5.067 Seats|LFF stadionas|29|Free transfer|Ä90k|Ä170k|0|+Ä170k
964|5.067 Seats|LFF stadionas|24|Ä12k|Ä30k|Ä30k|Ä12k|+Ä18k
965|6.250 Seats|ARVI arena|36|Free transfer|Ä12k|Ä12k|0|+Ä12k
966|5.067 Seats|LFF stadionas|33|Free transfer|Ä120k|Ä130k|0|+Ä130k
967|6.250 Seats|ARVI arena|38|Free transfer|Ä250k|Ä250k|0|+Ä250k
968|5.067 Seats|LFF stadionas|38|Ä4k|Ä40k|Ä40k|0|+Ä40k
969|6.250 Seats|ARVI arena|34|Free transfer|Free transfer|0|0|0
970|5.067 Seats|LFF stadionas|38|Free transfer|Ä175k|Ä330k|Ä4k|+Ä326k
971|6.250 Seats|ARVI arena|29|Free transfer|Free transfer|0|0|0
972|5.067 Seats|LFF stadionas|40|Free transfer|Ä150k|Ä165k|0|+Ä165k
973|6.250 Seats|ARVI arena|24|Free transfer|Free transfer|0|0|0
974|5.067 Seats|LFF stadionas|35|Ä12k|Free transfer|0|Ä12k|Ä-12k
975|6.250 Seats|ARVI arena|41|Free transfer|Ä160k|Ä160k|0|+Ä160k
976|6.250 Seats|ARVI arena|42|Free transfer|Free transfer|0|0|0
977|5.067 Seats|LFF stadionas|38|Free transfer|Ä52k|Ä52k|0|+Ä52k
978|6.250 Seats|ARVI arena|40|Free transfer|Free transfer|0|0|0
979|5.067 Seats|LFF stadionas|43|Ä5k|Ä150k|Ä200k|Ä5k|+Ä195k
980|11.000 Seats|Bakcell Arena|24|Free transfer|Free transfer|0|0|0
981|31.200 Seats|Tofiq Bahramov Stadion|23|Free transfer|Ä250k|Ä250k|0|+Ä250k
982|4.500 Seats|Qabala City Stadium|12|Free transfer|Free transfer|0|0|0
983|11.000 Seats|Bakcell Arena|33|Ä75k|Free transfer|0|Ä75k|Ä-75k
984|31.200 Seats|Tofiq Bahramov Stadion|31|Free transfer|?|0|0|0
985|4.500 Seats|Qabala City Stadium|38|Free transfer|Free transfer|0|0|0
986|4.500 Seats|Qabala City Stadium|35|Ä300k|Ä200k|Ä200k|Ä300k|Ä-100k
987|11.000 Seats|Bakcell Arena|34|Ä158k|Free transfer|0|Ä158k|Ä-158k
988|31.200 Seats|Tofiq Bahramov Stadion|27|Free transfer|Free transfer|0|0|0
989|4.500 Seats|Qabala City Stadium|40|Ä500k|Free transfer|0|Ä500k|Ä-500k
990|31.200 Seats|Tofiq Bahramov Stadion|31|Ä1.28m|Free transfer|0|Ä1.28m|Ä-1.28m
991|11.000 Seats|Bakcell Arena|30|Free transfer|Free transfer|0|0|0
