TransfermarktId|WinsELQ|DrawsELQ|LossesELQ|Year
10604|0.0|0.0|2.0|2013
10616|0.0|0.0|2.0|2013
10625|5.0|1.0|0.0|2013
10639|0.0|1.0|1.0|2013
10695|0.0|2.0|0.0|2013
10854|0.0|1.0|1.0|2013
10883|2.0|1.0|3.0|2013
11107|1.0|0.0|1.0|2013
11194|1.0|0.0|1.0|2013
11435|0.0|2.0|2.0|2013
11907|2.0|0.0|2.0|2013
11914|4.0|1.0|1.0|2013
12132|0.0|0.0|2.0|2013
13278|1.0|0.0|1.0|2013
13418|0.0|0.0|2.0|2013
13499|4.0|2.0|0.0|2013
18506|0.0|0.0|2.0|2013
19627|0.0|3.0|1.0|2013
21532|0.0|0.0|2.0|2013
21775|0.0|1.0|1.0|2013
22140|0.0|0.0|2.0|2013
22220|0.0|0.0|2.0|2013
23088|0.0|2.0|0.0|2013
23560|0.0|0.0|2.0|2013
23664|2.0|1.0|1.0|2013
23911|0.0|0.0|2.0|2013
24349|0.0|0.0|2.0|2013
24832|1.0|1.0|2.0|2013
27116|2.0|3.0|1.0|2013
27843|1.0|0.0|1.0|2013
28633|0.0|0.0|2.0|2013
29160|1.0|0.0|3.0|2013
30037|0.0|0.0|2.0|2013
30686|1.0|3.0|2.0|2013
32017|3.0|1.0|0.0|2013
20|0.0|2.0|0.0|2014
39|1.0|0.0|1.0|2014
121|1.0|1.0|0.0|2014
144|4.0|0.0|0.0|2014
163|2.0|1.0|1.0|2014
195|3.0|2.0|1.0|2014
202|0.0|1.0|1.0|2014
206|0.0|0.0|2.0|2014
208|0.0|2.0|0.0|2014
238|1.0|1.0|2.0|2014
271|2.0|1.0|1.0|2014
272|1.0|1.0|2.0|2014
279|1.0|1.0|2.0|2014
282|2.0|0.0|2.0|2014
318|1.0|3.0|0.0|2014
329|0.0|1.0|1.0|2014
365|4.0|2.0|0.0|2014
370|3.0|1.0|2.0|2014
383|2.0|0.0|0.0|2014
416|2.0|0.0|0.0|2014
420|3.0|3.0|0.0|2014
433|3.0|0.0|1.0|2014
434|0.0|2.0|0.0|2014
447|2.0|0.0|2.0|2014
448|1.0|0.0|1.0|2014
452|2.0|0.0|0.0|2014
681|2.0|0.0|0.0|2014
