|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
88|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2012|20,1|3|10.40m|248k|2012|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|43|Free transfer|1.20m|3.02m|0|+3.02m
89|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2012|23,0|3|8.45m|313k|2012|Serbia|13.020 Seats|Gradski Stadion Subotica|28|Free transfer|Free transfer|0|0|0
90|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2013|23,0|8|34.85m|792k|2013|Serbia|32.710 Seats|Partizan Stadion|44|200k|10.00m|21.80m|200k|+21.60m
91|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2013|23,3|10|28.45m|749k|2013|Serbia|51.755 Seats|Rajko Mitiæ Stadium|41|200k|2.70m|6.51m|901k|+5.60m
92|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2013|21,9|16|17.68m|347k|2013|Serbia|14.852 Seats|Stadion Karadjordje|52|Free transfer|200k|520k|0|+520k
93|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2013|21,4|9|12.90m|258k|2013|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|50|Free transfer|500k|500k|0|+500k
94|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2013|22,3|6|7.65m|207k|2013|Serbia|13.020 Seats|Gradski Stadion Subotica|38|80k|360k|440k|80k|+360k
95|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2014|23,3|8|24.70m|633k|2014|Serbia|32.710 Seats|Partizan Stadion|39|Free transfer|3.20m|4.20m|0|+4.20m
96|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2014|23,3|7|19.95m|525k|2014|Serbia|51.755 Seats|Rajko Mitiæ Stadium|38|250k|2.50m|3.00m|600k|+2.40m
97|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2014|21,9|8|8.15m|220k|2014|Serbia|14.852 Seats|Stadion Karadjordje|37|Free transfer|1.75m|4.35m|0|+4.35m
98|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2014|22,4|7|7.35m|216k|2014|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|35|Free transfer|Free transfer|0|0|0
99|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2014|21,7|3|5.35m|162k|2014|Serbia|13.020 Seats|Gradski Stadion Subotica|33|Free transfer|Free transfer|0|0|0
100|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2015|23,0|12|26.50m|589k|2015|Serbia|32.710 Seats|Partizan Stadion|45|450k|3.00m|5.47m|870k|+4.60m
101|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2015|24,2|15|25.43m|687k|2015|Serbia|51.755 Seats|Rajko Mitiæ Stadium|37|1.00m|7.00m|15.75m|2.40m|+13.35m
102|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2015|23,6|7|12.85m|313k|2015|Serbia|14.852 Seats|Stadion Karadjordje|41|Free transfer|1.25m|3.39m|0|+3.39m
103|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2015|23,0|5|8.35m|220k|2015|Serbia|13.020 Seats|Gradski Stadion Subotica|38|Free transfer|350k|350k|0|+350k
104|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2015|24,4|2|7.93m|203k|2015|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|39|Free transfer|960k|1.16m|0|+1.16m
105|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2016|24,0|14|33.18m|754k|2016|Serbia|51.755 Seats|Rajko Mitiæ Stadium|44|300k|2.00m|3.90m|840k|+3.06m
106|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2016|23,5|12|24.78m|506k|2016|Serbia|32.710 Seats|Partizan Stadion|49|900k|1.70m|3.85m|1.71m|+2.14m
107|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2016|22,7|11|11.98m|249k|2016|Serbia|14.852 Seats|Stadion Karadjordje|48|Free transfer|750k|1.05m|0|+1.05m
108|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2016|24,2|6|7.98m|190k|2016|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|42|Free transfer|Free transfer|0|0|0
109|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2016|22,7|9|7.08m|161k|2016|Serbia|13.020 Seats|Gradski Stadion Subotica|44|Free transfer|300k|350k|0|+350k
110|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2017|24,0|10|31.60m|735k|2017|Serbia|32.710 Seats|Partizan Stadion|43|1.65m|5.10m|14.00m|2.96m|+11.04m
111|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2017|24,4|11|25.05m|677k|2017|Serbia|51.755 Seats|Rajko Mitiæ Stadium|37|3.00m|5.50m|14.05m|5.30m|+8.75m
112|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2017|22,1|15|12.43m|254k|2017|Serbia|14.852 Seats|Stadion Karadjordje|49|150k|500k|1.35m|300k|+1.05m
113|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2017|23,7|9|9.40m|235k|2017|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|40|Free transfer|400k|400k|0|+400k
114|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2017|21,2|8|5.58m|139k|2017|Serbia|13.020 Seats|Gradski Stadion Subotica|40|Free transfer|400k|900k|0|+900k
115|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2018|24,3|16|46.93m|998k|2018|Serbia|51.755 Seats|Rajko Mitiæ Stadium|47|2.50m|12.00m|24.05m|10.14m|+13.91m
116|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2018|23,4|10|25.53m|543k|2018|Serbia|32.710 Seats|Partizan Stadion|47|500k|1.95m|6.55m|1.10m|+5.45m
117|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2018|21,5|10|9.95m|221k|2018|Serbia|14.852 Seats|Stadion Karadjordje|45|100k|650k|700k|100k|+600k
118|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2018|24,0|6|8.10m|184k|2018|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|44|Free transfer|500k|800k|0|+800k
119|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2018|22,4|9|6.58m|146k|2018|Serbia|13.020 Seats|Gradski Stadion Subotica|45|Free transfer|350k|750k|0|+750k
120|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2009|26,5|20|40.35m|1.26m|2009|Austria|30.188 Seats|Red Bull Arena Salzburg|32|2.50m|400k|400k|7.00m|-6.60m
