StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
30.820 Seats|Sammy Ofer Stadium|28|€500k|€650k|€850k|€1.20m|€-350k
16.126 Seats|Toto Jacob Turner Stadium|34|€1.20m|€250k|€275k|€3.87m|€-3.60m
33.500 Seats|Teddy-Kollek-Stadion|34|€500k|Free transfer|0|€500k|€-500k
30.820 Seats|Sammy Ofer Stadium|26|Free transfer|€80k|€90k|0|+€90k
8.500 Seats|Doha Stadium|32|Free transfer|Free transfer|0|0|0
16.126 Seats|Toto Jacob Turner Stadium|42|€2.00m|€4.37m|€5.47m|€4.56m|+€910k
29.150 Seats|Bloomfield|31|€200k|€2.50m|€2.71m|€200k|+€2.51m
30.820 Seats|Sammy Ofer Stadium|29|€1.40m|€500k|€700k|€1.82m|€-1.12m
33.500 Seats|Teddy-Kollek-Stadion|41|€1.00m|€300k|€580k|€1.95m|€-1.37m
8.500 Seats|Doha Stadium|31|Free transfer|€35k|€35k|0|+€35k
30.820 Seats|Sammy Ofer Stadium|29|€120k|€420k|€520k|€200k|+€320k
29.200 Seats|Georgi Asparuhov Stadium|40|€150k|€400k|€1.30m|€225k|+€1.08m
25.556 Seats|Slavia Stadium|35|€50k|€150k|€180k|€50k|+€130k
13.000 Seats|Lokomotiv|38|€50k|€40k|€40k|€51k|€-11k
12.500 Seats|Stadion Ticha|35|€50k|€20k|€20k|€80k|€-60k
12.128 Seats|Stadion Beroe|39|Free transfer|€30k|€30k|0|+€30k
29.200 Seats|Georgi Asparuhov Stadium|39|€240k|€1.00m|€2.10m|€785k|+€1.32m
25.556 Seats|Slavia Stadium|43|€50k|€600k|€1.36m|€50k|+€1.31m
13.000 Seats|Lokomotiv|35|€50k|€200k|€350k|€50k|+€300k
12.500 Seats|Stadion Ticha|32|Free transfer|€240k|€240k|0|+€240k
12.128 Seats|Stadion Beroe|40|€10k|€100k|€100k|€10k|+€90k
29.200 Seats|Georgi Asparuhov Stadium|35|€375k|€2.20m|€2.59m|€885k|+€1.71m
25.556 Seats|Slavia Stadium|39|€70k|€80k|€80k|€180k|€-100k
12.128 Seats|Stadion Beroe|47|€35k|€90k|€170k|€51k|+€119k
13.000 Seats|Lokomotiv|35|Free transfer|€200k|€200k|0|+€200k
12.500 Seats|Stadion Ticha|40|Free transfer|€50k|€50k|0|+€50k
25.556 Seats|Slavia Stadium|39|Free transfer|€50k|€50k|0|+€50k
29.200 Seats|Georgi Asparuhov Stadium|37|€400k|€150k|€195k|€1.25m|€-1.06m
13.000 Seats|Lokomotiv|51|€50k|€350k|€350k|€50k|+€300k
12.128 Seats|Stadion Beroe|36|Free transfer|€35k|€60k|0|+€60k
12.500 Seats|Stadion Ticha|30|€120k|€25k|€25k|€120k|€-95k
29.200 Seats|Georgi Asparuhov Stadium|48|€250k|€600k|€1.45m|€585k|+€865k
12.128 Seats|Stadion Beroe|36|Free transfer|€70k|€105k|0|+€105k
13.000 Seats|Lokomotiv|50|Free transfer|€200k|€300k|0|+€300k
25.556 Seats|Slavia Stadium|42|Free transfer|€1.00m|€1.40m|0|+€1.40m
12.500 Seats|Stadion Ticha|31|Free transfer|€100k|€100k|0|+€100k
29.200 Seats|Georgi Asparuhov Stadium|38|€50k|Free transfer|0|€50k|€-50k
12.128 Seats|Stadion Beroe|30|Free transfer|€80k|€80k|0|+€80k
25.556 Seats|Slavia Stadium|39|Free transfer|Free transfer|0|0|0
12.500 Seats|Stadion Ticha|43|Free transfer|Free transfer|0|0|0
13.000 Seats|Lokomotiv|39|Free transfer|Free transfer|0|0|0
